Sl No,Item,Qty Value,Qty Unit,Needed,Price
1,Aashirvaad Multigrain Atta,10,kg,N,570
2,Aashirvaad Sugar Release Control Atta,10,kg,N,800
3,Aashirvaad Whole Wheat Atta,10,kg,Y,430
4,Agarbatti/Incense Sticks,1,pack,Y,35
5,Ajwain (Carom),100,g,Y,38
6,Alfalfa Seeds (for sprouts),250,g,Y,217
7,Almonds (Badam),500,g,N,390
8,Aloe Vera Gel,150,g,N,90
9,Amul Fresh Malai Paneer,200,g,N,105
10,Apple,1,kg,N,120
11,Asafoetida (Hing),50,g,Y,83
12,Baby Diapers (if kids small),30,pieces,N,260
13,Baby Diapers (Medium size),60,pieces,N,430
14,Baby Food Cerelac (varieties),500,g,N,280
15,Baby Laundry Detergent,1,kg,N,600
16,Baby Lotion,200,ml,N,145
17,Baby Massage Oil,200,ml,N,150
18,Baby Powder,200,g,N,135
19,Baby Shampoo,200,ml,N,125
20,Baby Soap,4,pieces,N,160
21,Baby Toothbrush (Soft),1,piece,N,30
22,Baby Wet Wipes,72,pieces,N,75
23,Bajra Flour,1,kg,N,50
24,Baking Soda,100,g,Y,30
25,Banana,1,dozen,N,50
26,Band-Aid Strips,20,pieces,N,50
27,Basmati Rice,5,kg,Y,300
28,Bathing Soap (Lifebuoy/Dove),4,pieces,Y,150
29,Bay Leaves,25,g,Y,15
30,Beans,1,kg,N,80
31,Beetroot,1,kg,N,20
32,Besan (Gram Flour),1,kg,Y,110
33,Besan Laddu,500,g,N,120
34,Biryani Masala,100,g,Y,50
35,Black Cardamom (Badi Elaichi),100,g,Y,250
36,Black Chana (Kala Chana),1,kg,Y,110
37,Black Pepper (Whole),200,g,Y,200
38,Bleach (Ujala Safewash or Robin Blue),500,ml,Y,75
39,Blush,1,piece,N,100
40,Body Soap,6,bars,N,120
41,Body Wash,500,ml,N,150
42,Bottle Gourd (Lauki),500,g,N,50
43,Bread (Sandwich),8,packets,N,320
44,Breadcrumbs,400,g,N,75
45,Brinjal,1,kg,N,30
46,Broom (Grass),1,piece,N,85
47,Butter,250,g,Y,150
48,Butter Chicken Masala,100,g,N,80
49,Cabbage,1,kg,N,40
50,Cardamom (Green),50,g,Y,250
51,Carrot,1,kg,N,50
52,Cashew (Kaju),500,g,N,500
53,Cauliflower,1,piece,N,20
54,Chaat Masala,100,g,Y,50
55,Chana Dal,1,kg,Y,70
56,Cheese Slices,400,g,Y,220
57,Chicken (Curry Cut),1,kg,N,160
58,Chicken Masala,100,g,N,50
59,Chironji,250,g,N,750
60,Chole Masala,200,g,N,150
61,Cinnamon,50,g,N,40
62,Cloth Brush,1,piece,N,50
63,Cloves (Laung),100,g,N,125
64,Cocoa Powder,200,g,N,200
65,Coconut (Desiccated),200,g,N,150
66,Coconut (Fresh),6,pieces,N,240
67,Coconut Oil,1,L,Y,150
68,Coffee Powder,200,g,Y,600
69,Condensed Milk,500,g,N,150
70,Conditioner,200,ml,N,180
71,Coriander Leaves,6,bunch,N,60
72,Coriander Powder,500,g,Y,110
73,Coriander Seeds,500,g,Y,76
74,Cornflakes,1,kg,Y,210
75,Cotton Balls/Pads,100,g,N,55
76,Cotton Buds,100,pieces,Y,55
77,Cumin Powder,250,g,Y,135
78,Cumin Seeds,500,g,Y,200
79,Curd (Dahi),500,g,N,25
80,Dates (Khajoor),500,g,N,240
81,Deodorant (Men),150,ml,N,140
82,Deodorant (Women),150,ml,N,140
83,Dettol Antiseptic Liquid,250,ml,N,155
84,Disposable Razors,5,pieces,N,90
85,Dosa/Idli Batter (store bought),1,kg,Y,75
86,Drumstick,1,kg,N,100
87,Dry Coconut (Copra),500,g,N,150
88,Egg Curry Masala,100,g,N,50
89,Eggs,10,pieces,N,75
90,Eno Sachets,4,sachets,N,40
91,Eyeshadow Palette (Basic 6-8 colors),1,piece,N,500
92,Fabric Conditioner (Comfort),500,ml,Y,400
93,Face Cream (Moisturizer),100,g,N,150
94,Face Pack/Clay Mask,100,g,N,150
95,Face Scrub,100,g,N,120
96,Face Sheet Masks,5,pieces,N,320
97,Face Wash,150,ml,N,180
98,Fennel Seeds (Saunf),200,g,Y,116
99,Fenugreek Seeds (Methi Dana),250,g,Y,95
100,Fig (Anjeer),250,g,N,225
101,Fish (Rohu/Catla),1,kg,N,190
102,Fish Masala,100,g,N,50
103,Floor Cleaner (Lizol),1,L,Y,211
104,Foundation (Everyday use),30,ml,N,350
105,Fryums,2,packets,N,80
106,Garam Masala,200,g,Y,50
107,Garbage Bags (Large),30,pieces,Y,95
108,Garbage Bags (Medium),30,pieces,Y,83
109,Garlic,500,g,Y,70
110,Ghee,1,L,Y,470
111,Ginger,500,g,Y,50
112,Glass Cleaner (Colin),500,ml,N,90
113,Green Chillies,250,g,N,20
114,Green Chutney (Bottle),200,g,N,60
115,Green Gram (Whole),1,kg,Y,105
116,Groundnut Chutney Powder,200,g,N,70
117,Groundnut Oil,5,L,Y,750
118,Groundnuts (Peanuts),1,kg,Y,70
119,Hair Oil (Coconut/Parachute),500,ml,N,200
120,Hair Removal Cream/Wax Strips,65,pieces,N,100
121,Hand Sanitizer,500,ml,N,50
122,Hand Wash Refill,750,ml,N,100
123,Highlighter,1,piece,N,20
124,Horse Gram (Kulith),500,g,Y,65
125,Idiyappam Flour (Rice based),1,kg,N,100
126,Idli Rava,2,kg,Y,90
127,Instant Upma Mix,720,g,N,190
128,Jaggery,1,kg,Y,55
129,Jam (Mixed Fruit),500,g,Y,100
130,Jowar Flour,1,kg,N,70
131,Kabuli Chana,1,kg,Y,100
132,Kajal/Eyeliner,1,piece,N,90
133,Kashmiri Red Chillies,250,g,Y,120
134,Kasuri Methi (Dried Fenugreek Leaves),50,g,Y,30
135,Kitchen Dishwash Liquid (Vim),1,L,Y,200
136,Kitchen King Masala,200,g,Y,170
137,Ladies Finger (Bhindi),1,kg,N,50
138,Laundry Detergent Liquid,2,L,N,250
139,Laundry Detergent Powder (Surf/Ariel),2,kg,N,700
140,Lemon,6,pieces,N,60
141,Lip Balm,1,piece,N,40
142,Lip Gloss,1,piece,N,220
143,Lipstick,1,piece,N,80
144,Liquid Toilet Cleaner (Harpic),1,L,N,200
145,Mace (Javitri),50,g,N,100
146,Maggi Noodles (Masala) - Family pack,12,packets,Y,175
147,Maida,2,kg,Y,105
148,Maize Flour (Makka Atta),1,kg,N,110
149,Makeup Brushes (Basic set),1,set,N,90
150,Makeup Remover (Oil/Cream),100,ml,N,200
151,Makeup Remover Wipes,25,pieces,N,80
152,Mascara,1,piece,N,130
153,Masoor Dal,2,kg,Y,110
154,Menstrual Cup,1,piece,N,150
155,Milk,1,L,N,60
156,Milk Powder,500,g,Y,215
157,Moisturizer/Lotion,200,ml,N,160
158,Moong Dal (Split),1,kg,Y,125
159,Mop Stick with Refill,1,set,N,200
160,Mosquito Repellent (Roll-on/Patch),1,piece,N,80
161,Mosquito Repellent Liquid (GoodKnight),4,refills,Y,300
162,Mosquito Repellent Machine,1,piece,N,85
163,Moth Beans (Matki),1,kg,N,80
164,Mouthwash,250,ml,N,150
165,Mustard Oil,1,L,N,90
166,Mustard Sauce,200,g,N,45
167,Mustard Seeds,500,g,Y,50
168,Mutton Masala,100,g,N,50
169,Nail Polish (Basic shades),3,bottles,N,300
170,Nail Polish Remover,100,ml,N,70
171,Namkeen (Sev/Bhujia),1,kg,Y,150
172,Naphthalene Balls,200,g,N,50
173,Nutmeg (Jaiphal),100,g,N,130
174,Oats,1,kg,Y,150
175,Onion,1,kg,N,25
176,Orange,1,kg,N,80
177,Paneer,1,kg,Y,320
178,Paneer Butter Masala Powder,100,g,N,50
179,Pani Puri Puris,2,packets,Y,80
180,Papad,2,packets,N,150
181,Paratha (Frozen),5,pieces,N,100
182,Pasta,1,kg,Y,100
183,Pav Bhaji Masala,200,g,N,175
184,Peanut Butter,250,g,N,200
185,Peas (Frozen),1,kg,Y,100
186,Pepper Powder,200,g,N,260
187,Phenyl,1,L,N,80
188,Pickle,500,g,N,90
189,Pistachio (Pista),500,g,N,600
190,Poha (Flattened Rice),2,kg,Y,140
191,Poha Chivda Mix,500,g,N,200
192,Poha Thick,1,kg,Y,52
193,Poha Thin,1,kg,Y,70
194,Pomegranate,1,kg,N,150
195,Poppy Seeds (Khus Khus),250,g,Y,350
196,Potato,1,kg,N,20
197,Ragi Flour,10,kg,N,300
198,Raisins (Kishmish),500,g,N,160
199,Rajma,1,kg,Y,60
200,Rasam Powder,100,g,Y,75
201,Red Chilli Powder,500,g,Y,200
202,Rice (Sona Masoori),25,kg,Y,1700
203,Rice Flour,1,kg,Y,55
204,Ridge Gourd,1,kg,N,50
205,Rock Salt,1,kg,N,90
206,Rusk,1,kg,N,110
207,Sabudana,1,kg,Y,85
208,Salt (Iodised),1,kg,Y,20
209,Sambar Powder,500,g,Y,120
210,Sanitary Pads,10,pieces,N,150
211,Sattu,1,kg,N,120
212,Scotch Brite Scrubber,1,piece,N,30
213,Semolina Coarse,1,kg,Y,55
214,Semolina Fine,1,kg,Y,50
215,Sesame (Gingelly) Oil,250,ml,N,250
216,Shampoo (Family Pack),340,ml,Y,300
217,Shaving Cream,200,g,N,225
218,Sooji / Rava,2,kg,Y,110
219,Soy paneer,200,g,Y,90
220,Soya Chilly Garlic,200,g,N,95
221,Soya Paneer Garlic,200,g,N,95
222,Soya Sauce,500,ml,N,250
223,Spinach,1,bunch,N,20
224,Star Anise (Chakra Phool),100,g,N,150
225,Steel Scrubber,1,piece,N,20
226,Sugar,5,kg,Y,211
227,Sunflower Oil,5,L,Y,700
228,Sunscreen SPF 30+,100,ml,N,200
229,Sweet Corn (Frozen),1,kg,N,125
230,Talcum Powder,400,g,N,220
231,Tamarind,500,g,N,120
232,Tandoori Masala,100,g,N,90
233,Tea (Leaf),500,g,Y,105
234,Tissue Paper (Facial),5,box,N,150
235,Toilet Brush,1,piece,N,80
236,Toilet Paper,10,rolls,N,380
237,Tomato,1,kg,N,30
238,Tomato Ketchup,1,kg,N,140
239,Tomato Puree (Tetrapack),1,kg,N,65
